video_file,video_path,shot_num,start_timecode,end_timecode,duration_sec,blur_score,face_score,motion_score
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,0,00:00:00.000,00:00:20.760,20.76,64.16177433889412,3364,0.096856296
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,1,00:00:20.760,00:00:59.300,38.54,89.1374381395022,0,0.422891
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,2,00:00:59.300,00:01:00.940,1.64,84.50843731722891,54440,0.17970423
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,3,00:01:00.940,00:01:01.880,0.94,202.18417623171283,56277,0.08914473
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,0,00:00:00.000,00:00:03.620,3.62,146.57205829026842,46034,0.023639506
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,1,00:00:03.620,00:00:15.160,11.54,14.32414046207004,24336,1.4165471
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,2,00:00:15.160,00:00:21.080,5.92,184.9541931455213,22201,0.019637087
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,3,00:00:21.080,00:00:29.920,8.84,27.89302280776293,91205,0.008348527
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,4,00:00:29.920,00:00:34.900,4.98,358.4023794506203,0,0.048202712
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,5,00:00:34.900,00:00:35.700,0.8,473.64537984117925,70913,0.076250896
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,0,00:00:00.000,00:01:03.920,63.92,86.85890513364888,5834,1.9133209
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,1,00:01:03.920,00:01:06.820,2.9,530.9292030857746,0,1.5090269
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,2,00:01:06.820,00:01:09.120,2.3,387.0174818695621,7744,1.7473578
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,3,00:01:09.120,00:01:19.080,9.96,174.79378278048364,39873,0.69643074
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,4,00:01:19.080,00:01:23.600,4.52,262.6075301878707,60373,0.23458295
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,5,00:01:23.600,00:01:28.300,4.7,264.13493614590493,64408,0.11580265
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,6,00:01:28.300,00:01:59.640,31.34,83.40040954589847,79979,1.3243549
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,7,00:01:59.640,00:02:05.460,5.82,297.65470514420406,73496,0.15130973
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,8,00:02:05.460,00:02:06.720,1.26,292.29442060998514,71267,0.15517513
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,9,00:02:06.720,00:02:10.000,3.28,323.86975101397366,11841,0.9011828
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,10,00:02:10.000,00:02:13.160,3.16,243.28702457840063,11047,0.69076425
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,11,00:02:13.160,00:02:15.360,2.2,293.6672340484608,48624,0.43803445
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,12,00:02:15.360,00:02:48.680,33.32,230.770241968102,21082,0.8417781
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,0,00:00:00.000,00:00:03.040,3.04,364.1205449252082,11713,0.82431966
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,1,00:00:03.040,00:00:05.480,2.44,957.5186744093138,12968,1.1870493
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,2,00:00:05.480,00:00:07.620,2.14,426.77527231719307,28889,1.5539669
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,3,00:00:07.620,00:00:23.760,16.14,528.9530380518595,14815,3.4009244
myqiuzzc.mp4,/kaggle/input/short-clips/dataset1/myqiuzzc.mp4,0,00:00:00.000,00:00:01.080,1.08,773.3850419401937,44236,0.015241295
myqiuzzc.mp4,/kaggle/input/short-clips/dataset1/myqiuzzc.mp4,1,00:00:01.080,00:00:03.980,2.9,757.628205840583,31196,0.016407643
myqiuzzc.mp4,/kaggle/input/short-clips/dataset1/myqiuzzc.mp4,2,00:00:03.980,00:00:13.960,9.98,582.1379307296646,50919,0.25854352
ncikuizq.mp4,/kaggle/input/short-clips/dataset1/ncikuizq.mp4,0,00:00:00.000,00:00:07.600,7.6,116.90783611113817,38627,0.288166
ncikuizq.mp4,/kaggle/input/short-clips/dataset1/ncikuizq.mp4,1,00:00:07.600,00:00:08.000,0.4,136.25982282624295,51226,1.0034558
ncikuizq.mp4,/kaggle/input/short-clips/dataset1/ncikuizq.mp4,2,00:00:08.000,00:00:16.460,8.46,155.20358055008776,44785,0.09238461
ncikuizq.mp4,/kaggle/input/short-clips/dataset1/ncikuizq.mp4,3,00:00:16.460,00:00:30.400,13.94,323.73014095864,53290,0.22953783
ohwchuju.mp4,/kaggle/input/short-clips/dataset1/ohwchuju.mp4,0,00:00:00.000,00:00:18.680,18.68,275.20364365279124,25609,0.50589114
ohwchuju.mp4,/kaggle/input/short-clips/dataset1/ohwchuju.mp4,1,00:00:18.680,00:00:27.080,8.4,297.2685750472409,68804,0.19871557
ohwchuju.mp4,/kaggle/input/short-clips/dataset1/ohwchuju.mp4,2,00:00:27.080,00:00:27.560,0.48,11.674003899449476,0,0.041964184
ohwchuju.mp4,/kaggle/input/short-clips/dataset1/ohwchuju.mp4,3,00:00:27.560,00:00:28.140,0.58,4.750797525983973,0,0.1341439
ohwchuju.mp4,/kaggle/input/short-clips/dataset1/ohwchuju.mp4,4,00:00:28.140,00:00:34.380,6.24,524.0526526921482,62200,0.555945
ohwchuju.mp4,/kaggle/input/short-clips/dataset1/ohwchuju.mp4,5,00:00:34.380,00:00:35.800,1.42,549.7768369839973,65681,0.30980974
ukonzgxq.mp4,/kaggle/input/short-clips/dataset1/ukonzgxq.mp4,0,00:00:00.000,00:00:07.020,7.02,193.43661390328117,52880,0.08994009
ukonzgxq.mp4,/kaggle/input/short-clips/dataset1/ukonzgxq.mp4,1,00:00:07.020,00:00:39.440,32.42,381.14351955969056,68046,0.3814109
unygqzdu.mp4,/kaggle/input/short-clips/dataset1/unygqzdu.mp4,0,00:00:00.000,00:00:04.100,4.1,149.56436381858074,18886,0.04241069
unygqzdu.mp4,/kaggle/input/short-clips/dataset1/unygqzdu.mp4,1,00:00:04.100,00:00:05.140,1.04,309.2857563198513,3600,0.01297075
unygqzdu.mp4,/kaggle/input/short-clips/dataset1/unygqzdu.mp4,2,00:00:05.140,00:00:10.960,5.82,544.6308864156831,23419,3.0170608
unygqzdu.mp4,/kaggle/input/short-clips/dataset1/unygqzdu.mp4,3,00:00:10.960,00:00:13.100,2.14,65.85838560926652,121481,0.05314926
unygqzdu.mp4,/kaggle/input/short-clips/dataset1/unygqzdu.mp4,4,00:00:13.100,00:00:13.480,0.38,116.89305200187779,19538,0.9729979
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,0,00:00:00.000,00:00:03.780,3.78,711.8028226919479,91792,0.42573446
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,1,00:00:03.780,00:00:07.380,3.6,663.5895153756305,101964,0.29478776
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,2,00:00:07.380,00:00:08.820,1.44,399.1298122179657,12064,0.42075086
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,3,00:00:08.820,00:00:09.900,1.08,412.994743840305,8962,1.2844583
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,4,00:00:09.900,00:00:10.420,0.52,401.29818654024933,18554,1.4350555
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,5,00:00:10.420,00:00:11.960,1.54,275.99063198343794,8497,1.3158622
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,6,00:00:11.960,00:00:13.560,1.6,321.43078456277715,0,2.3138468
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,7,00:00:13.560,00:00:14.380,0.82,268.9223371402022,34826,2.1227813
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,8,00:00:14.380,00:00:18.180,3.8,326.4629023127132,27222,3.2209735
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,9,00:00:18.180,00:00:19.120,0.94,280.84259106727404,11344,0.99715114
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,10,00:00:19.120,00:00:19.660,0.54,261.91950122484644,12437,1.370393
wcsdambp.mp4,/kaggle/input/short-clips/dataset1/wcsdambp.mp4,11,00:00:19.660,00:00:20.160,0.5,307.4515437768713,71651,1.703925
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,0,00:00:00.000,00:00:01.800,1.8,525.962792657692,31543,0.8264068
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,1,00:00:01.800,00:00:11.840,10.04,403.0152381514749,24097,1.1612744
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,2,00:00:11.840,00:00:20.480,8.64,507.1109445098301,36262,0.21304302
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,3,00:00:20.480,00:00:22.520,2.04,342.6748980017722,0,3.081489
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,4,00:00:22.520,00:00:24.420,1.9,336.75908521864153,0,1.2218388
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,5,00:00:24.420,00:00:26.140,1.72,379.6847492546635,33394,1.1008651
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,6,00:00:26.140,00:00:39.600,13.46,442.552915837765,0,1.1609316
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,7,00:00:39.600,00:00:42.720,3.12,632.4528143279924,39452,1.1195375
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,8,00:00:42.720,00:00:45.640,2.92,484.5411183491449,57959,0.31038398
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,9,00:00:45.640,00:00:46.480,0.84,510.0060510667166,46166,0.20931044
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,10,00:00:46.480,00:00:47.540,1.06,609.5647339707538,52353,0.20611128
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,11,00:00:47.540,00:00:51.480,3.94,544.6694561999237,56765,0.14561282
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,12,00:00:51.480,00:01:07.760,16.28,558.3341929034763,59693,0.47445783
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,13,00:01:07.760,00:01:10.920,3.16,533.8951106567192,2837,1.6140127
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,14,00:01:10.920,00:01:14.260,3.34,556.1013460843959,61876,0.97365975
wuqoarpl.mp4,/kaggle/input/short-clips/dataset1/wuqoarpl.mp4,15,00:01:14.260,00:01:17.200,2.94,543.3522587320537,59229,0.29330048
wylqhkno.mp4,/kaggle/input/short-clips/dataset1/wylqhkno.mp4,0,00:00:00.000,00:00:15.360,15.36,29.14315318872899,0,0.024258174
wylqhkno.mp4,/kaggle/input/short-clips/dataset1/wylqhkno.mp4,1,00:00:15.360,00:00:20.480,5.12,29.987867838531056,0,0.024564806
wylqhkno.mp4,/kaggle/input/short-clips/dataset1/wylqhkno.mp4,2,00:00:20.480,00:00:25.600,5.12,39.031048176965534,0,0.016887074
wylqhkno.mp4,/kaggle/input/short-clips/dataset1/wylqhkno.mp4,3,00:00:25.600,00:00:54.880,29.28,86.72491210126405,0,0.24393156
